id,code,name,flag
198,TN,Tonga,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TN-flag.gif
199,TD,Trinidad and Tobago,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TD-flag.gif
200,TS,Tunisia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TS-flag.gif
201,TU,Turkey,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TU-flag.gif
202,TX,Turkmenistan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TX-flag.gif
203,TK,Turks and Caicos Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TK-flag.gif
204,UG,Uganda,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UG-flag.gif
205,UP,Ukraine,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UP-flag.gif
206,AE,United Arab Emirates,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AE-flag.gif
207,UK,United Kingdom,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UK-flag.gif
208,US,United States,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/US-flag.gif
209,UY,Uruguay,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UY-flag.gif
210,UZ,Uzbekistan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UZ-flag.gif
211,NH,Vanuatu,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NH-flag.gif
212,VE,Venezuela,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VE-flag.gif
213,VM,Vietnam,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VM-flag.gif
214,VQ,Virgin Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VQ-flag.gif
215,WE,West Bank,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WE-flag.gif
216,YM,Yemen,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/YM-flag.gif
217,ZA,Zambia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ZA-flag.gif
218,ZI,Zimbabwe,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ZI-flag.gif
